type,size,layers,bp,bt,rbp,fh,drw
flat,16,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,n
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6.1,0,n
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,5.98,0,n
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6,0,n
flat,3,s316L:0.2_s316L:0.2_tef:0.1,2,22,1.73,0,n
flat,3,s316L:0.2_s316L:0.3_tef:0.1,2,22,1.83,0,n
flat,3,s316L:0.2_s316L:0.4_tef:0.1,2,22,1.95,0,n
flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.321,0,n
flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.265,0,n
flat,6,s316L:0.6_s316L:0.5_tef:0.6,5.5,20,4,0,n
flat,6,s316L:0.6_s316L:0.25_tef:0.6,5.5,20,3.79,0,n
flat,6,s316L:0.6_s316L:0.3_tef:0.6,5.5,20,5.85,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.81,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.6,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.92,0,n
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.94,0,n
flat,4,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,0.9,60,0.57,0,n
flat,4,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,0.9,60,1.03,0,n
flat,4,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,0.9,60,0.76,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.54,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.3,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.24,0,n
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.26,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.2,0.175,57,0.163,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.216,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.14,0,n
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.184,0,n
flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.56,0,n
flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.531,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.49,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.26,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.043,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.81,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.925,0,n
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.984,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,4.59,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.58,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.41,0,n
flat,8,cs:1_cs:0.8_pvc:0.5,6,40,5.73,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,4,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,6.19,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.93,0,n
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.63,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,4.85,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.13,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.3,0,n
flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.09,0,n
flat,6,s316:0.5_s316:0.5_tef:0.3,2.5,22,2.45,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.193,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.68,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.459,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.62,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.3,0.48,188,0.7,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.2,0.48,188,0.6,0,n
flat,4,s316:1_s316:0.5_ptfe:0.5,0.48,188,10.76,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.43,0,n
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.92,0,n
flat,4,s316:0.2_s316:0.5_ptfe:0.2,0.48,188,1.45,0,n
flat,4,s316:0.1_s316:0.5_ptfe:0.1,0.48,188,0.8,0,n
flat,4,s316:0.1_s316:0.1_ptfe:0.2,0.48,188,0.7,0,n
flat,24,s316:2_s316:0.5_fep:0.5,5,40,7.44,0,n
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,2.27,0,n
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,0.89,0,n
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.25,0,n
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.14,0,n
flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,0,n
flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,0,n
flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.45,0,n
flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.15,0,n
flat,24,s316:2.5_s316:0.6_ptfe:0.5,6,40,4.45,0,n
flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,6.15,0,n
flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,1.89,0,n
flat,24,s316L:2_s316L:0.6_ptfe:0.5,4,50,4.15,0,n
flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,6.3,0,n
flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,5.23,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.137,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.3,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.575,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.5,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.34,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.38,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.52,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,0,n
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,0,n
flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.83,0,n
flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.91,0,n
flat,10,s316:0.6_s316:0.6_ptfe:0.5,2,160,2.08,0,n
flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.97,0,n
flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.16,0,n
flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,8.93,0,n
flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.05,0,n
flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.04,0,n
flat,24,s316:3_s316:1_ptfe:0.5,6,40,5.24,0,n
flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.15,0,n
flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.45,0,n
flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.19,0,n
flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,7.21,0,n
flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,6.5,0,n
flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,12,0,n
flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,6.52,0,n
flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,5.61,0,n
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,8.1,0,n
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.66,0,n
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.47,0,n
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.08,0,n
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.97,0,n
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,1,75,0.8,0,n
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.3,0,n
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.65,0,n
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,7.01,0,n
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,8.2,0,n
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.1,0,n
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.72,0,n
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.33,0,n
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.4,0,n
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.57,0,n
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.21,0,n
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.18,0,n
flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.16,0,n
flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,2.98,0,n
flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.37,0,n
flat,8,s316:0.5_s316:0.5_tef:0.5,3.21,35,2.59,0,n
flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.7,0,n
flat,8,s316:0.5_s316:0.5_tef:0.5,3.3,35,3.9,0,n
flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,2.81,0,n
flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.4,0,n
flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.28,0,n
flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.3,0,n
flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.52,0,n
flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.31,0,n
flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,3.1,0,n
flat,24,s316:0.5_s316:1.5_tef:0.5,3,35,3.25,0,n
flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,2.1,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.7,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.8,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.1,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.05,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,2.85,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,4.2,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.65,0,n
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.25,0,n
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,9.9,0,n
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.9,0,n
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.6,0,n
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,16,0,n
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,15.55,0,n
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,11.43,0,n
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,,0,n
flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.4,0,n
flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.3,0,n
flat,24,s316:2_s316:0.5_tef:0.5,3,22,1.3,0,n
flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.3,0,n
flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.4,0,n
flat,24,s316:2_s316:0.5_tef:1.5,4,22,3.97,0,n
flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.4,0,n
flat,24,s316:2_s316:0.5_tef:1.5,4,22,2.14,0,n
flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.31,0,n
flat,24,s316:2_s316:0.5_tef:1.5,5,22,4.75,0,n
flat,24,s316:2_s316:0.5_tef:1.5,5,22,1.43,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.54,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.08,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.23,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.3,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.28,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,5.5,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,6.17,0,n
flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.27,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.81,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.98,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.1,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.2,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.68,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.42,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.46,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.44,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.65,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.62,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.35,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.52,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.55,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.15,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.48,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.51,0,n
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.67,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.62,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.65,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.92,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.83,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.36,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.41,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.48,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.56,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.75,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,6.05,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.83,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.63,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.24,0,n
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.26,0,n
forward,3,S316:0.4_nickel:0.25_tef:0.3,8.03,20,9.8,0,n
forward,3,S316:0.05_nickel:0.25_tef:0.4,8.03,20,8.45,0,n
forward,3,S316:0.05_nickel:0.25_tef:0.2,8.03,20,7.65,0,n
forward,3,S316:0.05_nickel:0.25_tef:0.3,8.03,20,7.3,0,n
forward,4,inconel:1_s316L:0.05_tef:0.3,27.7,325,31,0,n
forward,4,inconel:1_s316L:0.05_tef:0.05,29.1,20,31.76,0,n
forward,4,inconel:1_s316L:0.05_tef:0.2,27.7,325,30.41,0,n
forward,4,inconel:1_s316L:0.05_tef:0.2,29.1,20,29.98,0,n
forward,3,s316L:0.2_s316L:0.1_tef:0.3,4.6,60,4.5,0,n
forward,3,s316L:0.2_s316L:0.1_tef:0.4,4.6,60,2.81,0,n
forward,3,s316L:0.2_s316L:0.1_tef:0.2,4.6,60,4.53,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,29.98,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,4.65,0,n
forward,1,S316L:0.05_S316L:0.1_tef:0.05,5,30,6.02,0,n
forward,4,inconel:0.42_s316L:0.1_tef:0.3,115,100,116.7,0,n
forward,4,inconel:0.42_s316L:0.1_tef:0.05,115,100,119.1,0,n
forward,4,inconel:0.42_s316L:0.1_tef:0.3,75,100,78.1,0,n
forward,4,inconel:0.42_s316L:0.1_tef:0.05,75,100,77.8,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.63,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.37,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.69,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.64,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.27,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.22,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.39,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.76,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,6.53,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.32,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.21,0,n
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.01,0,n
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.1,0,n
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.8,0,n
forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.985,0,n
forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.31,0,n
forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.33,0,n
forward,1,s316L:0.05_s316L:0.2_s316L:0.05_tef:0.1,5,22,5.8,0,n
forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.4,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,10.63,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.42,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,8.86,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.3,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,11.7,0,n
forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,6.13,0,n
forward,1.5,s316L:0.1_s316L:0.1_tef:0.2,10,180,8.8,0,n
forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.06,0,n
forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,10.08,0,n
forward,1.5,s316L:0.2_s316L:0.1_s316L:0.1_tef:0.1,10,180,18.86,0,n
forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.15,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.96,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.86,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.57,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.9,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.15,0,n
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,2.6,0,n
forward,4,s316L:0.3_s316L:0.1_tef:0.2,3.3,131,3.08,0,n
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,0,n
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.56,0,n
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.65,0,n
forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,0,n
forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.51,0,n
forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.575,0,n
forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,15,0,n
forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,18.13,0,n
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.49,0,n
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.02,0,n
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,1.97,0,n
forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.66,0,n
forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,7.91,0,n
forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.38,0,n
forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.05,0,n
forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.75,0,n
forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.25,0,n
forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,9.59,0,n
forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,13.6,0,n
forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,15.3,0,n
forward,1,s316:0.1_s316:1_fep:.1,5,30,5.15,0,n
forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.43,0,n
forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.59,0,n
forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,4.87,0,n
forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,6.47,0,n
forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,5.35,0,n
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.35,0,n
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.39,0,n
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.09,0,n
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.04,0,n
forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.99,0,n
forward,1.5,s316:0.1_s316:0.1_tef:0.3,2,135,2.25,0,n
forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,3.2,0,n
forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,2.94,0,n
forward,3,s316L:0.5_s316L:0.1_tef:0.5,3,48,2.57,0,n
forward,3,s316L:0.3_s316L:0.1_tef:0.5,3,48,3.47,0,n
forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.5,248,100,249.4,0,n
forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.4,248,100,245.7,0,n
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,16.8,0,n
forward,4,s316:1_s316:0.4_ptfe:0.4,10,100,7.86,0,n
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,9.87,0,n
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.45,0,n
forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.25,0,n
forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,1.73,0,n
forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,3.42,0,n
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,9.04,0,n
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.49,0,n
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.59,0,n
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.35,0,n
forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.18,0,n
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.5,0,n
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.3,0,n
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.65,0,n
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.49,0,n
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.71,0,n
forward,1.5,s316:0.2_s316:0.1_ptfe:0.2,3.3,149,3.21,0,n
forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.75,0,n
